index,reduction,perturbation_type,control_task,layer,metric_mean,metric_std,metric_count
179,full,rephrase,RANDOMIZATION,5,-0.017044340143911534,0.1983533622866767,20
180,full,rephrase,RANDOMIZATION,6,-0.028296883311122633,0.2872383791299628,20
181,full,rephrase,RANDOMIZATION,7,-0.03743745498359204,0.2584222643565964,20
182,full,rephrase,RANDOMIZATION,8,-0.11823038805741817,0.30362716523651034,20
183,full,rephrase,RANDOMIZATION,9,-0.06770631314720957,0.2663392963896067,20
184,full,rephrase,RANDOMIZATION,10,-0.019376253988593824,0.2990108045861572,20
185,full,rephrase,RANDOMIZATION,11,-0.001212191767990592,0.26656120761252694,20
186,full,rephrase,RANDOMIZATION,12,-0.012616306170821188,0.3416506258306062,20
187,full,rephrase,RANDOMIZATION,13,0.030823628767393512,0.2650632709392235,20
188,full,rephrase,RANDOMIZATION,14,-0.007250094669871034,0.3431194618740353,20
189,full,rephrase,RANDOMIZATION,15,0.022775820177048444,0.3691496296430399,20
190,full,rephrase,RANDOMIZATION,16,0.04981560055166482,0.3314710381457381,20
191,full,rephrase,RANDOMIZATION,17,0.08371913023293016,0.33623904606407157,20
192,full,rephrase,RANDOMIZATION,18,-0.06245618885150178,0.26487407839514115,20
193,full,rephrase,RANDOMIZATION,19,-0.05974919367581605,0.33486983873826864,20
194,full,rephrase,RANDOMIZATION,20,-0.10631192419677973,0.3097814562766626,20
195,full,rephrase,RANDOMIZATION,21,-0.10314009943976998,0.290037941765211,20
196,full,rephrase,RANDOMIZATION,22,-0.08360724374651908,0.3148306995126402,20
197,full,rephrase,RANDOMIZATION,23,-0.05773567031137643,0.3272926771445686,20
198,full,rephrase,RANDOMIZATION,24,0.03161158468574286,0.3865243793898002,20
199,full,typos,NONE,0,-0.1343536356519261,0.37006029409719515,7
200,full,typos,NONE,1,0.22327076271176338,0.29232427944722733,15
201,full,typos,NONE,2,0.2273176116247972,0.49305092348789664,15
202,full,typos,NONE,3,0.22111445367336274,0.5507106647857274,15
203,full,typos,NONE,4,0.10241680201046013,0.31285831043168044,15
204,full,typos,NONE,5,0.1563171292344729,0.30660248721480005,15
205,full,typos,NONE,6,0.09598108852903048,0.4840692637378481,15
206,full,typos,NONE,7,0.26329384845060605,0.3270547882481383,15
207,full,typos,NONE,8,0.07418950100739795,0.4345924697390726,15
208,full,typos,NONE,9,0.07913724047442279,0.41912411999179544,15
209,full,typos,NONE,10,0.04524520486593245,0.33777197381707535,15
210,full,typos,NONE,11,-0.042354351088094204,0.43662741626888396,15
